px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.86233	-10.9149	-2.76871	1.70371	-0.340372	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.68773
9.86696	-11.0629	-2.76266	1.6727	-0.357918	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.191022
9.88226	-11.1997	-2.76535	1.66	-0.346274	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0687197
9.87607	-11.3433	-2.77177	1.62552	-0.369667	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.152362
9.88875	-11.4837	-2.77948	1.61714	-0.348178	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.150849
9.87249	-11.628	-2.78634	1.57894	-0.376486	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.252099
9.79987	-11.7572	-2.72977	1.43911	-0.632525	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	13.6342
9.77218	-11.8829	-2.71783	1.40123	-0.642158	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.253802
9.7494	-12.0156	-2.71841	1.37445	-0.630013	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.0842177
9.69899	-12.1512	-2.72647	1.32276	-0.656674	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.305325
9.63083	-12.2772	-2.71572	1.23058	-0.783168	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	2.91718
9.57404	-12.3933	-2.70369	1.18237	-0.796812	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.34309
9.46144	-12.4989	-2.69024	1.03904	-1.01234	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	6.83999
9.38277	-12.6006	-2.67704	0.979329	-1.02634	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.381483
9.30731	-12.7232	-2.67591	0.940394	-0.990232	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.176968
9.21942	-12.8228	-2.6533	0.882105	-0.999343	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.480173
9.06429	-12.8884	-2.66254	0.693709	-1.29692	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	13.0679
8.9269	-12.9665	-2.68374	0.602903	-1.3261	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	1.02969
8.79428	-13.039	-2.68657	0.514064	-1.35803	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	0.249006
8.66334	-13.0921	-2.67126	0.43101	-1.3726	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.310674
8.53069	-13.1354	-2.67993	0.338479	-1.42502	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	0.432361
